I'm looking for a place to stay . It needs to be a guesthouse and include free wifi . ||| Qed infittex post fejn noqgħod . Jeħtieġ li tkun guesthouse u tinkludi wifi b'xejn .
Yes , that would be great . What is the total travel time ? ||| Iva , dan ikun kbir . X'inhu l ħin totali tal ivvjaġġar ?
Total travel time is 60 minutes . Can I book that for you ? ||| Il ħin totali tal ivvjaġġar huwa ta' 60 minuta . Nista' nibbukkja dik għalik ?
Not at the moment , I just needed the travel time . ||| Mhux bħalissa , kelli bżonn biss il ħin tal ivvjaġġar .
Can I help you with anything else today ? ||| Nista ngħinek b xi ħaġa oħra llum ?
No thank you , goodbye . ||| Le grazzi , addio .
Have a wonderful day . ||| Have a ġurnata mill isbaħ .
I'm looking for a Chinese restaurant in the centre of Cambridge . ||| Qed infittex ristorant Ċiniż fiċ ċentru ta' Cambridge .
There are quite a few Chinese restaurants in the area ! Do you have a price range you'd like to stay within ? ||| Hemm pjuttost ftit ristoranti Ċiniżi fiż żona ! Għandek firxa ta' prezzijiet li tixtieq tibqa' fiha ?
No , anything is fine . Can you suggest a great one ? ||| Le , kollox huwa tajjeb . Tista' tissuġġerixxi waħda mill aqwa ?
Jinling noodle bar looks like a good place . ||| Jinling noodle bar jidher qisu post tajjeb .
Can I have their phone number and address ? Also , are there any trains that go from Peterborough to Cambridge ? ||| Nista' jkolli n numru tat telefon u l indirizz tagħhom ? Ukoll , hemm xi ferroviji li jmorru minn Peterborough għal Cambridge ?
sure no problem . Address is 11 Peas Hill City Centre and phone number is 01223566188 . Would you like to book a reservation ? ||| żgur l ebda problema . L indirizz huwa 11 Peas Hill City Centre u n numru tat telefon huwa 01223566188 . Tixtieq tibbukkja prenotazzjoni ?
What is the price range of the restaurant ? ||| X'inhi l firxa tal prezzijiet tar ristorant ?
This restaurant is of the moderate price range . Would you like to book a table ? ||| Dan ir restorant huwa ta' firxa ta' prezzijiet moderati . Tixtieq tibbukkja mejda ?
No thanks , but I do need some train info . I'll be leaving from Peterborough on Tuesday , sometime after 15:15 . ||| Le grazzi , imma għandi bżonn xi informazzjoni dwar il ferrovija . Se nitlaq minn Peterborough nhar it Tlieta , xi żmien wara 15:15 .
The TR5933 leaves peterborough at 15:19 . ||| It TR5933 jitlaq minn Peterborough fil 15:19 .
Could you book that for me for 2 people ? ||| Tista' tibbukkja dak għalija għal 2 persuni ?
Sure thing . I've booked two tickets on TR5933 . The total fee is 33 GBP and your reference number is TL4R46YS . Is there anything else I can help you with ? ||| Ħaġa żgur . Bbukkejt żewġ biljetti fuq TR5933 . It tariffa totali hija ta' 33 GBP u n numru ta' referenza tiegħek huwa TL4R46YS . Hemm xi ħaġa oħra li nista' ngħinek biha ?
That is all . Thank you . ||| Dak kollox . Grazzi .
You are welcome . Have a nice day . Bye . ||| Ta 'xejn . Il ġurnata t tajba . Bye .
Hi , I need a train to broxbourne , please . ||| Hi , għandi bżonn ferrovija għal Broxbourne , jekk jogħġbok .
What day will you be traveling ? ||| Liema jum se tkun qed tivvjaġġa ?
I will be leaving on Saturday and I am departing from Cambridge . ||| Se nitlaq nhar is Sibt u se nitlaq minn Cambridge .
There are 19 trains that day do you have a time you will be traveling ? ||| Hemm 19 il ferrovija dakinhar għandek ħin li se tivvjaġġa ?
I need to arrive by 16:15 and I want to book it for 6 people . ||| Għandi bżonn nasal sas 16:15 u rrid nibbukkjaha għal 6 persuni .
I have one that leaves at 14:01 and arrives at 15:01 . Would you like be to book that one ? ||| Għandi waħda li titlaq fl 14:01 u tasal fil 15:01 . Tixtieq tkun tibbukkja dik ?
Yes please , book that for 6 people and I need the reference number . ||| Iva jekk jogħġbok , ibbukkja dak għal 6 persuni u għandi bżonn in numru ta' referenza .
The booking was successful and your feference number is CJC7YKBL . May I help you with anything else today ? ||| Il prenotazzjoni kienet ta' suċċess u n numru ta' referenza tiegħek huwa CJC7YKBL . Nista ngħinek b xi ħaġa oħra llum ?
I am looking for a restaurant called The Lucky Star and would like to book the same six people there on the same day . Is that a possibility ? ||| Qed infittex ristorant jismu The Lucky Star u nixtieq nibbukkja l istess sitt persuni hemmhekk fl istess jum . Hija possibbiltà ?
The Lucky Star is a Chinese restaurant on the south side falling in the cheap price range . I can try making a reservation for you ; how many people in your party ? ||| Il Lucky Star huwa ristorant Ċiniż fuq in naħa tan nofsinhar li jaqa 'fil firxa ta' prezzijiet irħas . Nista' nipprova nagħmel riserva għalik ; kemm nies fil partit tieghek ?
Like I mentioned previously , it'll be for the same 6 people , on the same day Saturday , at 11:45 please . ||| Bħalma semmejt qabel , ser ikun għall istess 6 persuni , fl istess jum is Sibt , fil 11:45 jekk jogħġbok .
Your booking was successful . The reference number is : PWSAA94F . Is there anything else I can help you with ? ||| Il prenotazzjoni tiegħek kienet ta' suċċess . In numru ta' referenza huwa: PWSAA94F . Hemm xi ħaġa oħra li nista' ngħinek biha ?
That will be all . Thank you for your help ! ||| Dak se jkun kollu . Grazzi tal għajnuna tiegħek !
Thank you for using Cambridge TownInfo centre . Please remember us for your future travel needs . ||| Grazzi talli użajt iċ ċentru ta' Cambridge TownInfo . Jekk jogħġbok ftakarna għall bżonnijiet tal ivvjaġġar futuri tiegħek .
Are there trains to Cambridge on Sunday ? ||| Hemm ferroviji għal Cambridge nhar il Ħadd ?
There are 202 trains that match your trip . Do you have a specific departure city ? ||| Hemm 202 ferrovija li jaqblu mal vjaġġ tiegħek . Għandek belt speċifika tat tluq ?
leaving cambridge on sunday ||| jitlaq minn Cambridge nhar il Ħadd
Okay , where would you like to go ? ||| Tajjeb , fejn tixtieq tmur ?
I would like to go from Ely to Cambridge and arrive by 8:00 . ||| Nixtieq immur minn Ely sa Cambridge u nasal sat 8:00 .
There are two trains departing Ely at 5:35 and 7:35 that will arrive in Cambridge by 8:00 . Would you like to book either train ? ||| Hemm żewġ ferroviji li jitilqu minn Ely fil 5:35 u s 7:35 li se jaslu Cambridge sat 8:00 . Tixtieq tibbukkja jew ferrovija ?
I would like to book the 7:35 please , also give me the train ID ? And will I be close to Yu Garden ? ||| Nixtieq nibbukkja l 7:35 jekk jogħġbok , agħtini wkoll l ID tal ferrovija ? U se nkun qrib Yu Garden ?
Train id is TR1037 . It will be in the same city , yes . Anything else ? ||| L id tal ferrovija hija TR1037 . Se jkun fl istess belt , iva . Xi ħaġa oħra ?
I am also looking for a restaurant called yu garden , I need you to book it foe 2 peopleat 13:30 for Sunday . I need the reference number please . thank you ||| Qed infittex ukoll restorant imsejjaħ yu garden , għandi bżonn li tibbukkjah foe 2 nies fis 13:30 għall Ħadd . Għandi bżonn in numru ta 'referenza jekk jogħġbok . thank you
I was able to reserve it , reference number is CXECKIOH . ||| Stajt nirriservaha , in numru ta' referenza huwa CXECKIOH .
I'm also looking for a restaurant . ||| Qed infittex ukoll restorant .
Are you looking for one in addition to the one we just made a reservation at ? ||| Qed tfittex waħda minbarra dik li għadna kif għamilna riserva fiha ?
No i'm sorry , I was mistaken , thank you , that is all ||| Le jiddispjaċini , żbaljt , grazzi , dak huwa kollox
Have a good day ! ||| Il ġurnata t tajba !
I'm looking for a restaurant called the varsity restaurant . ||| Qed infittex ristorant imsejjaħ il varsity restaurant .
I've located the Varsity restaurant , would you like me to make reservations there for you ? ||| Jien sibt ir ristorant Varsity , tixtieq li nagħmel riżervi hemm għalik ?
Yes please . I need a table for 7 people at 11:30 on Wednesday . ||| Iva jekk jogħġbok . Għandi bżonn mejda għal 7 persuni fil 11:30 nhar l Erbgħa .
I have booked you a table . the Reference number is : B19Y67KT . ||| Bbukkejtlek mejda . in numru ta' referenza huwa: B19Y67KT .
I'm also looking for a train to London Liverpool Street arriving by 20:30 . ||| Qed infittex ukoll ferrovija għal London Liverpool Street li tasal sal 20:30 .
What day would you like to go and where will you be departing from ? ||| Liema jum tixtieq tmur u minn fejn se titlaq ?
The train should depart from Cambridge and should leave on Thursday . ||| Il ferrovija għandha titlaq minn Cambridge u għandha titlaq nhar il Ħamis .
Train TR6332 leaves for London Liverpool street on thursday 17: 59 and arrives at 19:27 . can i book it for you ? ||| Il ferrovija TR6332 titlaq għal triq Londra Liverpool nhar il Ħamis 17: 59 u tasal fis 19:27 . nista nibbukkjah għalik ?
Yes . Please book a seat on train TR6332 for me . ||| Iva . Jekk jogħġbok ibbukkja siġġu fuq il ferrovija TR6332 għalija .
Ok , I have successfully booked a seat on TR6332 . The cost will be 16 . 6 GBP and your reference number is QQ53PXEI . ||| Ok , bbukkejt b'suċċess siġġu fuq TR6332 . L ispiża se tkun ta' 16 . 6 GBP u n numru ta' referenza tiegħek huwa QQ53PXEI .
I'm sorry , I said I needed a seat for me , but I actually need 7 seats total . My friends would not be happy if I stranded them . ||| Jiddispjaċini , għidt li kelli bżonn siġġu għalija , imma fil fatt għandi bżonn 7 siġġijiet b'kollox . Ħbieb tiegħi ma jkunux kuntenti jekk I mitluqa minnhom .
ok , i got that fixed for you . ||| ok , irranġat għalik .
Thank you . That's all for today . ||| Grazzi . Dak kollu għal lum .
Have a good day . Good bye . ||| Il ġurnata t tajba . Good bye .
Need a train to cambridge leaving after 11:45 . ||| Bżonn ferrovija għal Cambridge li titlaq wara l 11:45 .
We have quite a few trains available . What day are you wanting to travel on ? ||| Għandna pjuttost ftit ferroviji disponibbli . F'liema jum trid tivvjaġġa ?
I would be leaving on Wednesday . I would be leaving from London Kings Cross . ||| Inkun nitlaq nhar l Erbgħa . Inkun qed nitlaq minn London Kings Cross .
A train is departing London Kings Cross at 13:17 to Cambridge . A train will depart every two hours after that time . Would you like to book a train ? ||| Ferrovija se titlaq minn London Kings Cross f 13:17 lejn Cambridge . Ferrovija titlaq kull sagħtejn wara dak il ħin . Tixtieq tibbukkja ferrovija ?
Yes I would like to book for 2 people . ||| Iva nixtieq nibbukkja għal 2 persuni .
I have booked your train . Your reference number is 9V6DOMNZ and the fee of 47 . 2 is payable at the station . Can I help with anything else ? ||| I bbukkejt il ferrovija tiegħek . In numru ta 'referenza tiegħek huwa 9V6DOMNZ u l miżata ta' 47 . 2 titħallas fl istazzjon . Nista' ngħin f'xi ħaġa oħra ?
I would really love to have some chinese food while I am in town . ||| Nixtieq tassew nieħu xi ikel Ċiniż waqt li nkun fil belt .
We have lots of Chinese Restaurants in town . Is there a particular area of town you would like to dine in ? ||| Għandna ħafna Ristoranti Ċiniżi fil belt . Hemm xi żona partikolari tal belt li tixtieq tiekol fiha ?
I would prefer the south if there is anything available there . ||| Nippreferi n nofsinhar jekk hemm xi ħaġa disponibbli hemmhekk .
the lucky star is a cheap chinese restaurant . There are two expensive chinese restaurants as well . ||| l istilla xxurtjata hija ristorant Ċiniż irħis . Hemm żewġ ristoranti Ċiniżi għaljin ukoll .
Let's go with Lucky Star please . What is the phone number ? ||| Ejja mmorru ma 'Lucky Star jekk jogħġbok . X'inhu n numru tat telefon ?
The phone number for the lucky star is 01223244277 . Is there anything else I can help you with ? ||| In numru tat telefon għall istilla xxurtjata huwa 01223244277 . Hemm xi ħaġa oħra li nista' ngħinek biha ?
No . That's all for now . Thanks for all your help . Bye ! ||| Le . Dak kollu għalissa . Grazzi tal għajnuna kollha tiegħek . Bye !
Enjoy your visit . Thank you for contacting Cambridge TownInfo Centre . Good bye . ||| Igawdu ż żjara tiegħek . Grazzi talli ikkuntattjajt lil Cambridge TownInfo Centre . Good bye .
I'll be flying into Stansted Airport and need to find a train to Cambridge . Can you help me ? ||| Se nkun qed itir fl Ajruport ta Stansted u għandi nsib ferrovija lejn Cambridge . Tista 'tgħini ?
Yes , I can . Do you have a day and time in mind ? ||| Iva , nista . Għandek ġurnata u ħin f'moħħok ?
After 13:30 on Tuesday , please . ||| Wara 13:30 tat Tlieta , jekk jogħġbok .
I have a train leaving Stansted Airport on Friday at 14:24 . Is this an option you would like ? ||| Għandi ferrovija titlaq mill ajruport ta' Stansted nhar il Ġimgħa f'14:24 . Din hija għażla li tixtieq ?
yes , can you please make a booking for just me ? ||| iva , tista' jekk jogħġbok tagħmel prenotazzjoni għalija biss ?
I have booked you on Train TR2819 for 10 . 10 pounds . Your reference number is 6OWFNCJK . ||| Ibbukkejtek fuq Train TR2819 għal 10 . 10 liri . In numru ta' referenza tiegħek huwa 6OWFNCJK .
I am also looking for an expensive indian restaurant . ||| Qed infittex ukoll restorant indian għali .
Sure . We have a few options I think you would like . First , do you have a preference on the area ? ||| Żgur . Għandna ftit għażliet naħseb li tixtieq . L ewwel , għandek preferenza fuq iż żona ?
Yes . I am looking for west . ||| Iva . Qed infittex il punent .
I have 5 terrific Indian expensive restaurants . Would you like me to book one for you or would you like the list of names ? ||| Għandi 5 ristoranti Indjani terrific għaljin . Tixtieq li nibbukkja waħda għalik jew tixtieq il lista tal ismijiet ?
Yes can we book one of those restaurants for 1 at 16:45 ? ||| Iva nistgħu nibbukkjaw wieħed minn dawk ir ristoranti għal 1 fis 16:45 ?
To clarify you wanted me to book a table on Friday ? ||| Biex tiċċara ridt li nibbukkja mejda nhar il Ġimgħa ?
I am sorry . My train was supposed to be for tuesday as well as my restaurant reservation . ||| Jiddispjaċini . Il ferrovija tiegħi kellha tkun għat Tlieta kif ukoll ir riservazzjoni tar ristoranti tiegħi .
Alright , let me change your reservations around . I have booked the TR0135 train leaving at 14:24 on Tuesday from Stansted Airport for you , with a reference number of WH24DHNG . ||| Tajjeb , ħalluni nbiddel ir riżervi tiegħek . I bbukkejt il ferrovija TR0135 li titlaq fit 14:24 nhar it Tlieta mill Ajruport ta 'Stansted għalik , b'numru ta' referenza ta 'WH24DHNG .
Perfect . Then I'd like to reserve an expensive Indian restaurant for myself on Tuesday , as well . ||| Perfetta . Imbagħad nixtieq nirriżerva restorant Indjan għali għalija nnifsi nhar it Tlieta , ukoll .
Your reservation is set . The reference number is ADW35I6E . Can I help you with anything else ? ||| Ir riservazzjoni tiegħek hija stabbilita . In numru ta' referenza huwa ADW35I6E . Nista ngħinek b xi ħaġa oħra ?
No , thank you for helping me with my trip . I will contact you again if I need anything else . Good bye . ||| Le , grazzi talli għinni fil vjaġġ tiegħi . Nerġa' nikkuntattjak jekk għandi bżonn xi ħaġa oħra . Good bye .
It was my pleasure . Have a wonderful evening . Goodbye . ||| Kien pjaċir tiegħi . Ikollkom serata mill isbaħ . Adieu .
Are there trains arriving in Cambridge before 18:45 on Sunday ? ||| Hemm ferroviji li jaslu Cambridge qabel is 18:45 tal Ħadd ?
There are many trains that arrive by that time . Where will you be departing from ? ||| Hemm ħafna ferroviji li jaslu sa dak iż żmien . Minn fejn se titlaq ?
I'm leaving Bishops stortford . ||| Jien nitlaq minn Bishops stortford .
I have a train arriving at 16:07 and one arriving at 18:07 . Would one of those work ? ||| Għandi ferrovija tasal fis 16:07 u waħda tasal fis 18:07 . Waħda minn dawk taħdem ?
Can I get the price , travel time , and departure time of the one arriving at 18:07 ? ||| Nista 'nikseb il prezz , il ħin tal ivvjaġġar , u l ħin tat tluq ta' dak li jasal fis 18:07 ?
The train arriving in Cambridge at 18:07 departs at 17:29 . The price of the of the train ride is 8 . 08 pounds . Would you like to book a train ticket ? ||| Il ferrovija li tasal Cambridge fis 18:07 titlaq fis 17:29 . Il prezz tar rikba tal ferrovija huwa 8 . 08 liri . Tixtieq tibbukkja biljett tal ferrovija ?
Not at this time , but I am also looking for a european food restaurant in the expensive price range . Can you help with that ? ||| Mhux f'dan iż żmien , iżda qed infittex ukoll restorant tal ikel ewropej fil firxa ta 'prezzijiet għaljin . Tista 'tgħin b'dan ?
There are 5 of those . What area do you want to dine in ? ||| Hemm 5 minn dawk . F'liema żona trid tiekol ?
In the centre of town please . ||| Fiċ ċentru tal belt jekk jogħġbok .
How about eraina ? Shall I book you a table ? ||| Kif dwar eraina ? Għandi nibbukkjalek mejda ?
Yes , please . It will be just me and I'd like to eat at 21:00 on the same day as my train . ||| Iva jekk jogħġbok . Ikun biss jien u nixtieq niekol fil 21:00 fl istess jum tal ferrovija tiegħi .
OK , I've got your booked . The reference number is VMNDNKV2 and they'll hold your table for 15 minutes . Can I help you with anything else ? ||| OK , għandi l ibbukkjat tiegħek . In numru ta' referenza huwa VMNDNKV2 u jżommu l mejda tiegħek għal 15 il minuta . Nista ngħinek b xi ħaġa oħra ?
That's everything . Thank you ! ||| Dak kollox . Grazzi !
Great . I hope you enjoy your dinner . ||| Kbir . Nispera li tgawdi l ikla tiegħek .
Need a train to broxbourne departing from cambridge . ||| Bżonn ferrovija għal Broxbourne li titlaq minn Cambridge .
There are 133 entries matching you description . What day and time will you be travelling ? ||| Hemm 133 entrati li jaqblu mad deskrizzjoni tiegħek . Liema jum u ħin se tkun qed tivvjaġġa ?
I would be traveling on Friday and would like to get there by 18:45 . ||| Inkun qed nivvjaġġa nhar il Ġimgħa u nixtieq nasal hemm sas 18:45 .
I have a a train that leaves at 17:01 and arrives at 18:01 . Would you like to make a reservation ? ||| Għandi ferrovija li titlaq fis 17:01 u tasal fis 18:01 . Tixtieq tagħmel riserva ?
Yes please , book that for 8 people and I need the reference number as well . ||| Iva jekk jogħġbok , ibbukkja dak għal 8 persuni u għandi bżonn in numru ta' referenza wkoll .
You are booked . The total fee is 143 . 19 GBP payable at the station and you're reference number is ZQ9IZVLL . Is there anything else I can help with ? ||| Inti bbukkjat . It tariffa totali hija 143 . 19 GBP pagabbli fl istazzjon u n numru ta' referenza tiegħek huwa ZQ9IZVLL . Hemm xi ħaġa oħra li nista' ngħin biha ?
I am looking for a place to eat in the centre of town . ||| Qed infittex post fejn niekol fiċ ċentru tal belt .
What type of food would you like ? ||| X'tip ta' ikel tixtieq ?
mediterranean food , please . ||| ikel mediterran , jekk jogħġbok .
There are three to choose from , two are expensive and one is cheap . Do you have a preference on price ? ||| Hemm tlieta minn fejn jagħżlu , tnejn huma għaljin u wieħed irħis . Għandek preferenza fuq il prezz ?
No Preference , I'll let you pick which one you think is the best . ||| Ebda Preferenza , ser inħallik tagħżel liema waħda taħseb li hija l aħjar .
I would recommend la mimosa . It is an expensive restaurant in the center . Would you like to book a reservation ? ||| Nirrakkomanda la mimosa . Huwa restorant għali fiċ ċentru . Tixtieq tibbukkja prenotazzjoni ?
Sure , for the same group of people on Friday at 12:45 ||| Żgur , għall istess grupp ta nies nhar il Ġimgħa f 12:45
Your booking is confirmed . Your reference number is ICO9YE62 . Please note they will only reserve the table for 15 minutes . Is there anything else you need ? ||| Il prenotazzjoni tiegħek hija kkonfermata . In numru ta' referenza tiegħek huwa ICO9YE62 . Jekk jogħġbok innota li se jirriżervaw il mejda biss għal 15 il minuta . Hemm xi ħaġa oħra li għandek bżonn ?
That is everything , thanks for you help ||| Dan huwa kollox , grazzi tal għajnuna tiegħek
Have a great day ! ||| Il ġurnata t tajba !
Hi there , I'm looking for a restaurant that serves Swedish food . It can be anywhere , I'm willing to pay a moderate amount of money . Do you have any recommendations ? ||| Hi hemm , qed infittex ristorant li jservi ikel Svediż . Jista 'jkun kullimkien , jien lest li nħallas ammont moderat ta' flus . Għandek xi rakkomandazzjonijiet ?
Unfortunately , I wasn't able to find anything that matches your request . Shall we look for a cheap or expensive Swedish restaurant instead ? ||| Sfortunatament , ma kontx kapaċi nsib xi ħaġa li taqbel mat talba tiegħek . Għandi nfittxu restorant Svediż irħis jew għali minflok ?
Sure , look for a cheap restaurant . And I prefer the west if possible . ||| Żgur , tfittex restorant irħis . U nippreferi l punent jekk possibbli .
Unfortunately there are none fitting that criteria either , would you like me to search for a different type of restaurant ? ||| Sfortunatament m'hemm l ebda jaqbel ma 'dak il kriterji lanqas , tixtieq li nfittex tip differenti ta' ristorant ?
A British restaurant , please . ||| Ristorant Ingliż , jekk jogħġbok .
Saint Johns Chop House is a british restaurant located in the west at a moderate price . Would you like to book a table ? ||| Saint Johns Chop House huwa ristorant Ingliż li jinsab fil punent bi prezz moderat . Tixtieq tibbukkja mejda ?
Yes please for 6 people at 13:30 on monday . ||| Iva jekk jogħġbok għal 6 persuni fit 13:30 tat Tnejn .
I was ale to succesfully book you , The table will be reserved for 15 minutes . The Reference number is TFPE0ATT . Can i assist with anything else ? ||| Kont ale biex nibbukkjak b'suċċess , Il mejda tkun riservata għal 15 il minuta . In numru ta' referenza huwa TFPE0ATT . Nista' ngħin b'xi ħaġa oħra ?
Yes , I also need a train . I need to get to Cambridge by 09:15 . ||| Iva , għandi bżonn ukoll ferrovija . Għandi bżonn nasal Cambridge sad 09:15 .
What day and what is the departure location ? ||| Liema jum u x'inhu l post tat tluq ?
I'll be coming from London , Liverpool Street on the same day as my restaurant reservation , please . ||| Se niġi minn Londra , Liverpool Street fl istess jum tal prenotazzjoni tar ristoranti tiegħi , jekk jogħġbok .
I have several trains that will get you to Cabridge on time . Is there a particular departure time you would like ? ||| Għandi diversi ferroviji li jwassluk għal Cabridge fil ħin . Hemm ħin tat tluq partikolari li tixtieq ?
I would like the latest train leaving that will arrive by 9:15 please . Could you give me a departure time and travel time ? ||| Nixtieq l aħħar ferrovija li titlaq li tasal sad 9:15 jekk jogħġbok . Tista' tagħtini ħin tat tluq u ħin tal ivvjaġġar ?
The TR3673 will be arriving just before 9:15 on Monday . It departs at 7:39 and is an 88 minute ride . Would you like me to book it ? ||| It TR3673 se jasal ftit qabel id 9:15 nhar it Tnejn . Hija titlaq fis 7:39 u hija rikba ta '88 minuta . Tixtieq li nibbukkjaha ?
Can you tell me what time that train leaves ? ||| Tista tgħidli x ħin titlaq dik il ferrovija ?
The train departs at 07:39 . Can I help you with anything else ? ||| Il ferrovija titlaq fis 07:39 . Nista ngħinek b xi ħaġa oħra ?
No , that's all I need , thank you ! ||| Le , dak kollu li għandi bżonn , grazzi !
Thank you for using our system ! ||| Grazzi talli użajt is sistema tagħna !
Hi , are there any trains from cambridge to kings lynn ? ||| Hi , hemm xi ferroviji minn Cambridge għal Kings Lynn ?
I have 133 results for trains going from cambridge to kings lynn , what day are you looking to travel on and what time would you like to arrive ? ||| Għandi 133 riżultat għal ferroviji li jmorru minn Cambridge għal Kings Lynn , f'liema jum qed tfittex li tivvjaġġa u f'liema ħin tixtieq tasal ?
I need to leave on friday and arrive by 16:45 ||| Għandi bżonn nitlaq nhar il Ġimgħa u nasal sas 16:45
I have one that leaves at 14:11 and arrives in kings lynn at 14:58 . Would this be acceptable ? ||| Għandi waħda li titlaq f'14:11 u tasal f'kings lynn f'14:58 . Dan ikun aċċettabbli ?
Yes , I'd like eight tickets , please . ||| Iva , nixtieq tmien biljetti , jekk jogħġbok .
Great , your 8 tickets are booked Ref PHXZ03NH . Total fee is 78 . 4GBP , which you'll pay at the station . Can I help with anything else today ? ||| Kbir , it 8 biljetti tiegħek huma bbukkjati Ref PHXZ03NH . Il ħlas totali huwa 78 . 4GBP , li inti tħallas fl istazzjon . Nista ngħin f xi ħaġa oħra llum ?
Yes I need to find a nice expensive British restaurant please . ||| Iva għandi bżonn insib ristorant Brittaniku sabiħ għali jekk jogħġbok .
there are alot of restaurants that fit your needs what area would you like it in ||| Hemm ħafna ristoranti li jaqblu mal bżonnijiet tiegħek f'liema żona tixtiequ
The area does not matter . They just need to have an available table for 8 people at 10:45 on Friday night . ||| Iż żona ma jimpurtax . Jeħtieġ biss li jkollhom mejda disponibbli għal 8 persuni fl 10:45 nhar il Ġimgħa bil lejl .
I am sorry none of them have booking available for that time , another time maybe ? ||| Jiddispjaċini ħadd minnhom ma għandu prenotazzjoni disponibbli għal dak iż żmien , darba oħra forsi ?
Is 9:45 an available time ? ||| Id 9:45 huwa ħin disponibbli ?
I apologize . Can you verify that time for me again please ? ||| Niskuża ruħi . Tista terġa tivverifika dak il ħin għalija jekk jogħġbok ?
I would like to book a table at 9:45 . ||| Nixtieq nibbukkja mejda fid 9:45 .
I am not seeing anything available at that time . Maybe we can start from the beginning . You said you are looking for an expensive british restaurant right ? ||| Jien ma nara xejn disponibbli dak iż żmien . Forsi nistgħu nibdew mill bidu . Inti għidt li qed tfittex restorant Ingliż għali mhux ?
Yes . I would like a reservation on Friday at 10:45 for 8 people . ||| Iva . Nixtieq prenotazzjoni nhar il Ġimgħa fl 10:45 għal 8 persuni .
I am unable to get you a reservation at 10:45 would you like to pick another time or day ? ||| M'inix nista' nġiblek prenotazzjoni fl 10:45 tixtieq tagħżel ħin jew ġurnata oħra ?
how about 8:45 on Friday ? ||| kif madwar 8:45 nhar il Ġimgħa ?
I'm sorry , I have not found a table anywhere for Friday . I have tried 8:45 , 9:45 and 10:45 . Is there any other time you could dine ? ||| Jiddispjaċini , ma sibt mejda imkien għall Ġimgħa . Ippruvajt 8:45 , 9:45 u 10:45 . Hemm xi ħin ieħor li tista tiekol ?
Let is try again , 9:45 , expensive British food , a group of eight on Friday . ||| Ejja erġa' nipprova , 9:45 , ikel Brittaniku għali , grupp ta' tmienja nhar il Ġimgħa .
I'm sorry , I have not found a table anywhere for Friday at 9:45 . Is there any other time you could dine ? ||| Jiddispjaċini , ma sibt mejda imkien għall Ġimgħa fid 9:45 . Hemm xi ħin ieħor li tista tiekol ?
Is there anything available for 8 people on friday at 9:45 ? ||| Hemm xi ħaġa disponibbli għal 8 persuni nhar il Ġimgħa fid 9:45 ?
Unfortunately no . Perhaps you would like to dine at a different time ? ||| Sfortunatament le . Forsi tixtieq tiekol f'ħin differenti ?
Keep trying . I need the reference number . ||| Ibqa 'prova . Għandi bżonn in numru ta' referenza .
I was able to book you a table at fitzbillies restaurant . Your reference number is 4M731V01 . Is there anything else I can assist you with ? ||| Stajt nibbukkjak mejda fir ristorant fitzbillies . In numru ta' referenza tiegħek huwa 4M731V01 . Hemm xi ħaġa oħra li nista' ngħinek biha ?
No that's it , thank you very much . ||| Le hekk hu , grazzi ħafna .
Have a good day and if you need anything else please contact us . ||| Have a good day u jekk għandek bżonn xi ħaġa oħra jekk jogħġbok ikkuntattjana .
Hi , what trains do you have on Saturday from Kings Cross ? ||| Hi , x'ferroviji għandek is Sibt minn Kings Cross ?
We have a total of 10 trains departing from London Kings Cross every two hours beginning at 5:17 am . ||| Għandna total ta 10 ferroviji li jitilqu minn London Kings Cross kull sagħtejn li jibdew fil 5:17 am .
I need a train that will arrive in Cambridge by 21:45 . ||| Għandi bżonn ferrovija li tasal Cambridge sal 21:45 .
For how many people ? ||| Għal kemm nies ?
Just for me please . ||| Għalija biss jekk jogħġbok .
I was able to book TR7223 , reference number is UI4FTGQM . ||| Stajt nibbukkja TR7223 , in numru ta' referenza huwa UI4FTGQM .
I am looking for places to go in town in the centre . What do you recommend ? ||| Qed infittex postijiet fejn immur fil belt fiċ ċentru . X'tirrakkomanda ?
The cambridge punter is a good attraction to goto in the centre would you like the address ||| Il punter ta 'Cambridge hija attrazzjoni tajba biex tmur fiċ ċentru tixtieq l indirizz
I don't need the address , but could you provide the postcode , entrance fee , and phone number please ? ||| M'għandix bżonn l indirizz , imma tista' tipprovdi l kodiċi postali , il miżata tad dħul , u n numru tat telefon jekk jogħġbok ?
It doesn't specify an entrance fee , but the post code is cb41as . The phone number is 07807718591 . Is there anything else I can help you with today ? ||| Ma jispeċifikax ħlas tad dħul , iżda l kodiċi postali huwa cb41as . In numru tat telefon huwa 07807718591 . Hemm xi ħaġa oħra li nista' ngħinek biha llum ?
That's all I need thanks . ||| Dak kollu li għandi bżonn grazzi .
Glad I could help ! ||| Ferħan li stajt ngħin !
Hi , I'd like to find some place to go in the east . What's good to visit ? ||| Hi , nixtieq insib xi post fejn immur fil Lvant . X'inhu tajjeb biex iżuru ?
There are several places would you like an entertainment attraction or a museum ? ||| Hemm diversi postijiet li tixtieq attrazzjoni tad divertiment jew mużew ?
Can't you suggest something please ? I need the address , attraction type and postcode when you find it please . ||| Ma tistax tissuġġerixxi xi ħaġa jekk jogħġbok ? Għandi bżonn l indirizz , it tip tal attrazzjoni u l kodiċi postali meta ssibu jekk jogħġbok .
